name,source,portion_grams_default,kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbs_g_per_100g,fiber_g_per_100g,sugar_g_per_100g,vitaminC_mg_per_100g,zinc_mg_per_100g,selenium_ug_per_100g,iron_mg_per_100g,omega3_g_per_100g,tags
"idli (plain)","SEED",150,146,4.0,2.0,28.0,1.5,1.2,0.0,0.6,4.0,1.0,0.02,"veg|fermented|grain"
"dosa (plain)","SEED",120,184,4.8,6.0,28.0,1.8,0.8,0.0,0.7,5.0,1.3,0.03,"veg|fermented|grain"
"sambar","SEED",200,70,3.0,2.0,10.0,2.5,2.0,6.0,0.8,2.0,1.2,0.03,"veg|legume|broth"
"poha (cooked)","SEED",180,150,3.0,4.0,26.0,2.0,1.5,2.0,0.6,3.0,1.5,0.03,"veg|grain"
"upma (semolina)","SEED",180,180,4.0,6.0,28.0,1.8,1.0,0.0,0.7,3.0,1.2,0.03,"veg|grain"
"pongal (khara)","SEED",220,155,4.5,5.0,23.0,2.0,1.0,0.0,0.8,3.0,1.6,0.04,"veg|grain|legume"
"khichdi (moong dal + rice)","SEED",250,130,4.5,3.5,20.0,2.5,0.6,0.0,0.8,3.0,1.4,0.04,"veg|grain|legume"
"chapati/roti (atta)","SEED",45,264,8.0,3.2,49.0,7.1,2.0,0.0,2.7,5.0,3.5,0.05,"veg|grain|wholegrain"
"paratha (plain)","SEED",80,300,7.0,12.0,42.0,5.5,2.0,0.0,2.5,5.0,3.5,0.05,"veg|grain"
"rice (white, cooked)","SEED",180,130,2.4,0.3,28.0,0.4,0.1,0.0,0.4,1.0,0.2,0.00,"veg|grain"
"rice (brown, cooked)","SEED",180,123,2.7,1.0,25.6,1.8,0.4,0.0,0.8,1.0,0.4,0.01,"veg|grain|wholegrain"
"basmati rice (cooked)","SEED",180,121,2.9,0.4,25.2,0.6,0.2,0.0,0.5,1.0,0.2,0.00,"veg|grain"
"toor dal (cooked)","SEED",200,120,6.0,1.8,19.0,5.0,1.2,0.0,1.0,2.0,1.9,0.05,"veg|legume"
"moong dal (cooked)","SEED",200,112,7.0,0.7,19.0,4.1,1.4,0.0,1.2,2.0,1.4,0.05,"veg|legume"
"chole (chana masala)","SEED",220,164,8.5,4.5,24.0,7.0,3.5,2.0,1.3,3.0,2.7,0.06,"veg|legume"
"rajma (kidney bean curry)","SEED",240,150,8.0,3.0,24.0,6.5,2.5,2.0,1.2,3.0,2.9,0.06,"veg|legume"
"paneer (fresh)","SEED",100,265,18.0,20.0,2.0,0.0,2.0,0.0,2.0,14.0,0.7,0.12,"dairy|protein"
"paneer bhurji","SEED",180,220,16.0,16.0,6.0,1.5,2.5,8.0,2.2,12.0,1.2,0.12,"dairy|protein|veg"
"curd/dahi (plain)","SEED",150,61,3.5,3.3,4.7,0.0,4.7,0.0,0.5,3.0,0.1,0.04,"dairy|fermented"
"buttermilk (chaas)","SEED",200,40,2.5,1.0,5.0,0.0,5.0,0.0,0.3,1.0,0.1,0.02,"dairy|fermented"
"raita (cucumber)","SEED",150,75,3.0,4.0,6.0,0.5,4.0,2.0,0.5,2.0,0.2,0.03,"dairy|veg|fermented"
"lassi (sweet)","SEED",250,150,5.0,5.0,22.0,0.0,22.0,0.0,0.5,2.0,0.1,0.02,"dairy|sweet"
"egg (boiled)","SEED",60,155,13.0,11.0,1.1,0.0,1.1,0.0,1.3,31.0,1.2,0.05,"protein"
"egg bhurji","SEED",150,180,12.0,14.0,3.0,0.5,2.0,8.0,1.4,15.0,2.0,0.10,"protein|veg"
"chicken curry (home-style)","SEED",200,170,20.0,8.0,4.0,1.0,2.0,4.0,1.5,20.0,2.0,0.15,"protein"
"fish curry (home-style)","SEED",200,150,18.0,7.0,3.0,0.8,1.0,6.0,1.1,30.0,1.8,0.50,"protein|omega3"
"bhindi sabzi","SEED",150,90,2.5,6.0,9.0,3.5,3.0,17.0,0.5,2.0,0.6,0.05,"veg"
"aloo gobi","SEED",180,120,3.0,6.0,15.0,3.0,3.0,35.0,0.7,2.0,1.2,0.05,"veg"
"palak paneer","SEED",200,180,12.0,12.0,8.0,3.5,3.0,30.0,1.5,10.0,3.0,0.10,"veg|dairy|iron"
"chana chaat","SEED",200,170,9.0,4.0,26.0,7.0,5.0,20.0,1.3,3.0,2.7,0.06,"veg|legume"
"sprout salad (moong)","SEED",180,120,8.0,2.5,18.0,5.5,4.0,22.0,1.2,2.0,2.1,0.06,"veg|legume|raw"
"peanut chikki (gud chikki)","SEED",30,536,20.0,32.0,44.0,5.0,40.0,0.0,3.3,7.0,2.3,0.05,"sweet|nut"
"banana (ripe)","SEED",100,89,1.1,0.3,23.0,2.6,12.0,8.7,0.2,1.0,0.3,0.03,"fruit"
"apple","SEED",150,52,0.3,0.2,14.0,2.4,10.0,4.6,0.1,0.1,0.0,0.00,"fruit"
"mango","SEED",150,60,0.8,0.4,15.0,1.6,14.0,36.0,0.1,0.6,0.2,0.01,"fruit"
"orange","SEED",150,47,0.9,0.1,12.0,2.4,9.0,53.2,0.1,0.5,0.1,0.01,"fruit"
"potato (boiled)","SEED",150,87,2.0,0.1,20.0,1.8,1.2,9.1,0.3,0.4,0.3,0.01,"veg|root"
"sweet potato (boiled)","SEED",150,86,1.6,0.1,20.1,3.0,4.2,2.4,0.3,0.5,0.6,0.03,"veg|root"
"mustard oil","SEED",14,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,"oil|culinary"
"ghee","SEED",10,900,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"oil|culinary"
"groundnut oil","SEED",14,884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"oil|culinary"
"parle-g biscuit","SEED",30,470,6.8,19.5,70.0,2.0,24.0,0.0,0.8,2.0,2.5,0.03,"snack|processed"
"instant noodles (cooked)","SEED",180,190,5.0,7.0,28.0,1.2,2.0,0.0,0.5,2.0,1.8,0.03,"grain|ultra-processed"
